Client ID,FL Round,Training Time,Communication Time,Total Client Time,CPU Usage (%),Task,Train Loss,Train Accuracy,Train F1,Val Loss,Val Accuracy,Val F1,Total Time of Training Round,Total Time of FL Round
Client 1 - A,1,121,144.05,265.05,35,taskA,,,,,,,,270.0
Client 2 - A,1,153,111.4,264.4,34,taskA,,,,,,,,270.0
Client 3 - A,1,117,147.65,264.65,36,taskA,,,,,,,,270.0
Client 4 - A,1,146,119.21,265.21,32,taskA,759.0,0.38,0.29,190.0,0.38,0.28,153.0,270.0
Client 1 - A,2,198,186.06,384.06,26,taskA,,,,,,,,385.0
Client 2 - A,2,225,159.4,384.4,21,taskA,,,,,,,,385.0
Client 3 - A,2,212,172.05,384.05,27,taskA,755.0,0.38,0.24,189.0,0.37,0.24,225.0,385.0
Client 4 - A,2,204,180.92,384.91999999999996,22,taskA,,,,,,,,385.0
Client 1 - A,3,245,270.77,515.77,25,taskA,,,,,,,,516.0
Client 2 - A,3,304,211.92,515.92,23,taskA,755.0,0.38,0.26,189.0,0.37,0.26,304.0,516.0
Client 3 - A,3,283,232.66,515.66,24,taskA,,,,,,,,516.0
Client 4 - A,3,263,252.81,515.81,22,taskA,,,,,,,,516.0
Client 1 - A,4,250,345.32,595.3199999999999,26,taskA,,,,,,,,595.0
Client 2 - A,4,320,275.55,595.55,22,taskA,754.0,0.38,0.26,189.0,0.37,0.25,320.0,595.0
Client 3 - A,4,270,325.71,595.71,22,taskA,,,,,,,,595.0
Client 4 - A,4,316,279.46,595.46,19,taskA,,,,,,,,595.0
Client 1 - A,5,238,264.56,502.56,26,taskA,,,,,,,,502.0
Client 2 - A,5,286,216.0,502.0,19,taskA,,,,,,,,502.0
Client 3 - A,5,284,218.06,502.06,24,taskA,754.0,0.39,0.28,189.0,0.38,0.28,286.0,502.0
Client 4 - A,5,267,235.81,502.81,23,taskA,,,,,,,,502.0
Client 1 - A,6,154,110.04,264.04,25,taskA,,,,,,,,264.0
Client 2 - A,6,170,94.48,264.48,26,taskA,791.0,0.39,0.28,197.0,0.37,0.27,170.0,264.0
Client 3 - A,6,159,105.53,264.53,23,taskA,,,,,,,,264.0
Client 4 - A,6,163,101.09,264.09000000000003,22,taskA,,,,,,,,264.0
Client 1 - A,7,191,210.81,401.81,26,taskA,,,,,,,,402.0
Client 2 - A,7,190,211.66,401.65999999999997,24,taskA,754.0,0.39,0.28,189.0,0.38,0.27,210.0,402.0
Client 3 - A,7,210,191.32,401.32,22,taskA,,,,,,,,402.0
Client 4 - A,7,146,255.46,401.46000000000004,23,taskA,,,,,,,,402.0
Client 1 - A,8,221,200.84,421.84000000000003,23,taskA,,,,,,,,422.0
Client 2 - A,8,302,119.98,421.98,21,taskA,754.0,0.39,0.29,189.0,0.38,0.28,302.0,422.0
Client 3 - A,8,287,134.74,421.74,25,taskA,,,,,,,,422.0
Client 4 - A,8,290,132.19,422.19,24,taskA,,,,,,,,422.0
Client 1 - A,9,232,558.11,790.11,30,taskA,753.0,0.39,0.3,189.0,0.38,0.29,323.0,790.0
Client 2 - A,9,323,466.85,789.85,16,taskA,,,,,,,,790.0
Client 3 - A,9,222,568.0,790.0,27,taskA,,,,,,,,790.0
Client 4 - A,9,230,559.46,789.46,25,taskA,,,,,,,,790.0
Client 1 - A,10,214,366.56,580.56,23,taskA,,,,,,,,581.0
Client 2 - A,10,320,260.7,580.7,22,taskA,,,,,,,,581.0
Client 3 - A,10,263,317.06,580.06,22,taskA,,,,,,,,581.0
Client 4 - A,10,275,305.01,580.01,20,taskA,752.0,0.39,0.31,189.0,0.38,0.3,320.0,581.0
