Configuration,Model Accuracy (mean ± std),Total FL Time (mean ± std),Agent Overhead (mean ± std),n_runs
Never,0.74 ± 0.00,1666 ± 124 s,0 ± 0 s,10
Random,0.74 ± 0.01,3796 ± 977 s,0 ± 0 s,10
Expert-Driven,0.76 ± 0.01,1619 ± 291 s,0 ± 0 s,10
llama3.2 (ZS),0.77 ± 0.01,1422 ± 66 s,7 ± 0 s,10
deepseek-r1 (ZS),0.80 ± 0.00,1870 ± 240 s,19 ± 4 s,10
gpt-oss (ZS),0.79 ± 0.01,2276 ± 665 s,176 ± 6 s,10
llama3.2 (FS),0.82 ± 0.02,1372 ± 151 s,5 ± 1 s,10
deepseek-r1 (FS),0.84 ± 0.01,1893 ± 188 s,18 ± 1 s,10
gpt-oss (FS),0.83 ± 0.01,1765 ± 627 s,180 ± 0 s,10
